PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
KP ME+ 9/3 VERY LIGHT BLND GOLD 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
WELLOXON PRFT ME+ 12% 1L,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
KP ME+ 12/07 SPECIAL BLND 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 77/0 MEDIUM BLND INT 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
ESSENSITY 4-0 - 60ML,Wella Professional,₹ 470.00,₹ 398.31,33059,TUB-TUBES
ESSENSITY 5-0 - 60ML,Wella Professional,₹ 470.00,₹ 398.31,33059,TUB-TUBES
ESSENSITY 6-0 - 60ML,Wella Professional,₹ 470.00,₹ 398.31,33059,TUB-TUBES
"ESS DEVELOPER 5,5% 1000 10/13",Wella Professional,₹ 840.00,₹ 711.86,33059,BTL-BOTTLES
MAJICONTRAST RED,General,₹ 470.00,₹ 398.31,33059040,TUB-TUBES
PR HUILE JASMINE  OIL PRE ET POST EPILATI 250ML 1740,General,"₹ 1,740.00","₹ 1,474.58",33049990,BTL-BOTTLES
Osis Mess Up - 100ML,Schwarzkofp - Osis,"₹ 1,300.00","₹ 1,101.69",33059,CAN-CANS
Osis Dust 10G,Schwarzkofp - Osis,"₹ 1,250.00","₹ 1,059.32",33059,CAN-CANS
Osis Dust 85 ML,Schwarzkofp - Osis,₹ 950.00,₹ 805.08,33059,CAN-CANS
IK-PADAL BRUSH BIG,Brushes - Paddle Brush,₹ 800.00,₹ 677.97,96032900,PCS-PIECES
IK-PADAAL BRUSH BIG EMRALD,Brushes - Paddle Brush,₹ 536.00,₹ 454.24,96032900,PCS-PIECES
CV CLEAR COMPLEX CREAM 200ML ,Christine Valmy,"₹ 1,350.00","₹ 1,144.07",33049990,TUB-TUBES
CV PEEL OFF BRIGHTNING MASK ,Christine Valmy,₹ 150.00,₹ 127.12,33059090,CAN-CANS
IK-CURLING TONG ,Brushes - Paddle Brush,"₹ 2,600.00","₹ 2,203.39",85163200,PCS-PIECES
IK-CURLING TONG ,Brushes - Paddle Brush,"₹ 2,925.00","₹ 2,478.81",85163200,PCS-PIECES
CV CLEAN UP OIL COMB 5ML,Christine Valmy,₹ 235.00,₹ 199.15,33059090,BTL-BOTTLES
CV SKIN BRIGHTNING DRY ,Christine Valmy,₹ 325.00,₹ 275.42,33049990,CAN-CANS
CV SIGNATURE FACIAL,Christine Valmy,₹ 300.00,₹ 254.24,33049990,CAN-CANS
CV SENSI BALANCE KIT,Christine Valmy,₹ 350.00,₹ 296.61,33049990,BTL-BOTTLES
KERAFUSION KERATIN TREATMENT 960 ML ,KERATIN,"₹ 25,200.00","₹ 21,355.93",33059090,BTL-BOTTLES
DF-KERAFUSION TREATMENT 960ML,KERATIN,"₹ 12,600.00","₹ 10,677.97",33059090,BTL-BOTTLES
CRÈME BLEACH KIT,General,₹ 700.00,₹ 593.22,33049910,CAN-CANS
CV CLEAN UP NOR TO DRY,Christine Valmy,₹ 235.00,₹ 199.15,33059090,CAN-CANS
CV SKIN BRIGHTNING OIL COMB ,Christine Valmy,₹ 325.00,₹ 275.42,33059090,BTL-BOTTLES
CV SKIN BALANCE KIT,Christine Valmy,₹ 350.00,₹ 296.61,33049990,TUB-TUBES
CV RADIANCE FACIAL KIT OILY ,Christine Valmy,₹ 275.00,₹ 233.05,33049990,CAN-CANS
CV FAIR GLOW KIT-WOMAN 5ML,Christine Valmy,₹ 340.00,₹ 288.14,33049990,CAN-CANS
CV FAIRL GLOW FACIAL KIT FOR MEN ,Christine Valmy,₹ 325.00,₹ 275.42,33049990,CAN-CANS
CV VITAMIN C SERUM,Christine Valmy,₹ 705.00,₹ 597.46,33049990,BTL-BOTTLES
CV AGE DEFINING SERUM 30ML ,Christine Valmy,₹ 575.00,₹ 487.29,33059090,BTL-BOTTLES
